,SPY213303,SPY213304,SPY213305,SPY213306,SPY213307,SPY213308,SPY213309,SPY213310,SPY213311,SPY213312,SPY213313,SPY213314,SPY213315,SPY213316,SPY213317,SPY213318,SPY213319,SPY213320,SPY213321,SPY213323,SPY213324,SPY213325,SPY213326,SPY213327,SPY213328,SPY213329,SPY213330,SPY213331,SPY213332,SPY213333,SPY213334,SPY213335,SPY213336,SPY213337,SPY213338,SPY213339,SPY213340,SPY213341,SPY213342,SPY213343,SPY213344,SPY213345,SPY213346,SPY213347,SPY213348,SPY213349,SPY213350,SPY213351
ASV_1,9720,10224,12215,14432,9591,16796,8720,7191,8315,2838,10919,4445,14725,5214,2029,12611,2514,6131,3929,4358,5926,2881,5981,6120,30991,33168,7316,17838,8729,32551,14699,4378,13202,10626,7834,29702,2740,7832,5936,35135,5873,17210,18377,4085,4749,5766,8729,3285
ASV_2,737,1936,2232,2917,11876,5467,444,673,3892,953,801,1359,9719,5436,1452,213,0,323,506,398,1032,1776,815,1701,816,1781,535,15656,135,922,2948,2577,1257,2186,8490,1001,589,4973,54342,3116,0,1286,3312,447,2304,132,7996,8549
ASV_3,2887,1693,2740,2325,2132,2247,3161,800,930,4541,5352,4047,4034,778,1946,2692,837,2087,1244,1185,3975,3166,356,508,895,1548,415,466,322,1377,3983,3550,3909,2120,7989,3800,2872,4950,2631,10341,2258,4905,4846,8999,8620,1111,4072,3062
ASV_4,2191,443,1242,511,626,691,2968,886,1902,1602,2742,1070,912,705,575,1719,756,1301,504,3806,5115,1370,598,1641,662,594,350,623,252,1050,7273,1691,1133,1076,3377,569,1296,4713,4797,1032,9906,2113,2267,2816,44511,2849,3970,1908
ASV_5,2144,3983,5572,3835,6945,2157,3102,1898,1215,393,385,1019,731,658,378,1599,418,777,496,695,372,2145,4055,828,3585,1295,6673,2903,1551,25295,507,1353,1607,764,1473,1820,3142,363,1547,2718,1362,1444,1637,183,232,175,278,231
ASV_6,38968,6,538,1,6,3812,5,2,3,0,4,3,7,2362,4,14,0,59,82,1159,39,35,17,17,302,14,19222,21504,4,7,0,368,505,97,3408,145,1115,0,0,0,0,0,0,0,0,0,0,0
ASV_7,21,371,195,144,685,2,22,910,1323,0,157,459,26,25,13,194,14,66,68,198,47,10912,17870,16506,12939,9146,3937,3758,1901,4173,0,42,45,16,111,242,1906,0,0,36,0,0,0,0,0,0,64,51
ASV_8,1823,1549,1755,1528,9532,2986,2327,3709,873,2397,1798,1599,2995,1241,557,788,698,1317,622,867,3395,2919,697,1403,5320,1152,307,2261,1400,1488,1889,830,2224,1143,1408,1396,593,544,418,2066,748,1317,1157,514,822,426,1037,691
ASV_9,308,626,1244,3469,313,415,245,205,732,294,371,563,15687,3013,6766,358,1200,1714,221,392,314,0,383,605,73,292,233,158,0,1563,0,0,298,1045,318,1688,3150,4952,1117,522,1198,314,4710,6422,577,2034,3926,1684
ASV_10,804,290,1236,7035,556,746,14,231,159,324,1302,109,3186,371,2131,334,89,174,103,2251,2379,293,3004,0,210,288,473,186,339,0,0,2641,1911,6878,4935,3284,1190,667,485,1971,1131,1398,1449,5990,5921,1418,2720,1235
ASV_11,629,0,671,172,250,421,1,61,28,211,14620,240,1230,183,155,3753,134,15,90,132,764,286,95,221,47,46,16,98,0,0,0,18,3681,350,936,1252,652,111,171,96,813,5709,951,15115,897,2341,7701,5141
ASV_12,0,0,0,0,0,11,0,0,0,188,0,12,0,0,0,0,0,0,0,30,4195,4139,3,0,0,0,0,0,0,0,0,12,30792,178,0,126,0,2,0,21,20876,688,16,0,0,0,0,92
ASV_13,555,4995,2700,818,844,1951,0,876,2697,509,1599,84,305,459,316,0,291,383,0,367,773,338,2309,1739,155,250,71,486,352,729,0,3350,618,4327,1456,2322,6279,2236,276,978,0,606,4553,0,53,45,256,316
ASV_14,1024,1986,2508,730,511,1961,2233,840,1393,583,1115,292,1252,714,257,3519,731,1349,758,439,562,252,241,318,543,307,173,970,730,433,411,349,1557,788,552,365,519,483,282,2520,904,1389,9207,1423,1120,306,926,826
ASV_15,15,0,9,18047,109,8,4090,3332,5389,49,626,175,140,1421,5135,5,0,225,285,1535,1100,207,435,428,2,1,0,0,17,0,0,0,136,243,0,2137,1659,0,0,146,55,534,124,1925,0,0,1277,1457
ASV_16,0,256,431,0,165,0,0,69,1594,61,0,0,0,0,22,0,0,0,0,230,0,1959,2020,864,850,1506,3773,8113,3076,18640,2998,1321,63,0,0,0,0,0,462,3350,0,613,0,0,0,0,0,18
ASV_17,1442,150,193,0,111,171,4562,126,5330,102,1219,1977,80,87,121,0,56,103,0,164,974,3092,2096,2250,53,0,902,7604,0,7168,6465,516,60,2561,111,274,0,0,0,0,67,0,54,0,0,0,455,444
ASV_18,461,208,723,383,395,253,2540,402,1648,2659,3155,9920,889,185,978,148,607,1346,808,344,279,250,196,122,303,256,111,205,51,202,63,128,2915,1872,355,610,467,158,63,492,735,1203,1119,3147,2086,195,560,348
ASV_19,343,53,65,0,38,0,473,122,0,371,5165,3169,1051,184,1524,120,503,555,36,329,614,193,151,0,0,0,0,0,0,0,0,433,2364,0,6903,3183,655,322,33,533,146,366,1398,5071,1319,1784,4283,2432
ASV_20,0,0,0,0,0,0,0,0,0,0,0,2091,85,0,3738,838,129,234,0,48,0,0,0,0,189,17,0,0,0,0,35864,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_21,729,749,3492,204,255,192,5969,853,129,804,970,2868,6192,1135,137,1383,660,703,122,1145,1613,646,182,37,267,80,26,412,26,0,0,361,1775,120,0,65,510,256,0,0,28,418,1331,1387,4403,547,1457,1270
ASV_22,1300,175,32,346,364,1243,0,0,0,28,0,0,666,33,0,0,0,0,0,69,532,408,0,0,71,31,19,0,0,0,0,20,4961,166,0,9065,1283,336,401,7128,275,624,3263,0,4431,161,2517,2495
