ASV_numbers,domain,phylum,class,order,family,genus,species
ASV_1,Eukaryota,Basidiomycota,NA,Tremellales,Trimorphomycetaceae,Saitozyma,NA
ASV_2,Eukaryota,Ascomycota,NA,Helotiales,NA,NA,NA
ASV_3,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,NA
ASV_4,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,Russula_cyanoxantha
ASV_5,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,NA
ASV_6,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_7,Eukaryota,Basidiomycota,NA,Atheliales,Tylosporaceae,Tylospora,Tylospora_asterophora
ASV_8,Eukaryota,Ascomycota,NA,Helotiales,Myxotrichaceae,Oidiodendron,NA
ASV_9,Eukaryota,Ascomycota,NA,Eurotiales,Aspergillaceae,Penicillium,NA
ASV_10,Eukaryota,Basidiomycota,NA,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus_eburneus
ASV_11,Eukaryota,Ascomycota,NA,Hypocreales,Clavicipitaceae,NA,NA
ASV_12,Eukaryota,Basidiomycota,NA,Agaricales,Tricholomataceae,Clitocybe,Clitocybe_sp
ASV_13,Eukaryota,Ascomycota,NA,Chaetothyriales,Herpotrichiellaceae,Exophiala,NA
ASV_14,Eukaryota,Ascomycota,NA,Helotiales,Myxotrichaceae,Oidiodendron,NA
ASV_15,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Clavulina,NA
ASV_16,Eukaryota,Ascomycota,NA,Hypocreales,Hypocreaceae,Trichoderma,NA
ASV_17,Eukaryota,Basidiomycota,NA,Atheliales,NA,NA,NA
ASV_18,Eukaryota,Basidiomycota,NA,Agaricales,Agaricales_fam_Incertae_sedis,Agaricales_gen_Incertae_sedis,Agaricales_sp
ASV_19,Eukaryota,Basidiomycota,NA,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola
ASV_20,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp
ASV_21,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,NA
ASV_22,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,Russula_ochroleuca
ASV_23,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,NA
ASV_24,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_25,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_26,Eukaryota,Basidiomycota,NA,Agaricales,Agaricales_fam_Incertae_sedis,Agaricales_gen_Incertae_sedis,Agaricales_sp
ASV_27,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_28,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,NA
ASV_29,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,NA
ASV_30,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,NA
ASV_31,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_32,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_33,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,NA
ASV_34,Eukaryota,Basidiomycota,NA,NA,NA,NA,NA
ASV_35,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,NA
ASV_36,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,NA,NA
ASV_37,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_38,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Membranomyces,Membranomyces_sp
ASV_39,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_glabrescens
ASV_40,Eukaryota,Basidiomycota,NA,Atheliales,Tylosporaceae,Tylospora,Tylospora_fibrillosa
ASV_41,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_incrustans
ASV_42,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
