sample,site,treatment,Factor,geno,C,N,pH,SOM,Deadwood volume
f1,Bettlachstock,managed,BettlachstockM,1,17.55,0.896,7.05,34.20300214,29.19081254
f2,Bettlachstock,managed,BettlachstockM,1,22.03,1.235,6.85,44.03183024,0.813672497
f3,Bettlachstock,managed,BettlachstockM,1,14.86,0.872,7.06,30.25862069,7.176517159
f4,Bettlachstock,managed,BettlachstockM,1,25.47,1.331,6.91,48.9280245,11.1820885
f5,Bettlachstock,managed,BettlachstockM,1,27.22,1.511,6.69,52.76220977,23.22060221
f6,Bettlachstock,managed,BettlachstockM,1,25.06,1.292,7.05,47.88226849,5.817393439
f7,Bettlachstock,managed,BettlachstockM,1,35.67,1.77,5.71,73.35877863,3.739897778
f8,Bettlachstock,managed,BettlachstockM,1,16.25,0.855,7.05,32.54177661,13.08636452
f9,Bettlachstock,managed,BettlachstockM,1,18.42,0.775,7.12,29.64028777,0
f10,Bettlachstock,managed,BettlachstockM,1,7.99,0.482,5.74,18.09482384,2.556471022
f11,Bettlachstock,natural,BettlachstockN,2,38.6,1.853,5.56,78.86029412,197.9599586
f12,Bettlachstock,natural,BettlachstockN,2,13.61,0.75,6.67,28.35973429,186.7235516
f13,Bettlachstock,natural,BettlachstockN,2,11.58,0.661,6.24,24.397463,378.6035825
f14,Bettlachstock,natural,BettlachstockN,2,20.85,1.142,6.22,40.85106383,34.83350583
f15,Bettlachstock,natural,BettlachstockN,2,31.89,1.485,5.79,63.26874473,100.9136206
f16,Bettlachstock,natural,BettlachstockN,2,18.33,0.854,5.88,38.76572798,107.0914332
f17,Bettlachstock,natural,BettlachstockN,2,24.35,1.339,6.43,49.78775015,73.71346283
f18,Bettlachstock,natural,BettlachstockN,2,11.94,0.685,6.79,25.13317191,94.51554089
f19,Bettlachstock,natural,BettlachstockN,2,35.62,1.707,6.01,70.89810017,10.09412008
f20,Bettlachstock,natural,BettlachstockN,2,25.03,1.376,6.07,50.53353659,64.84027135
